name,version,scope,license
"globals","17.9.0","development","MIT"
"has-flag","4.0.0","development","MIT"
"hermes-estree","0.25.1","development","MIT"
"hermes-parser","0.25.1","development","MIT"
"html-encoding-sniffer","6.0.0","development","MIT"
"html-escaper","2.0.2","development","MIT"
"http-errors","2.0.1","production","MIT"
"ignore","5.3.2","development","MIT"
"ignore","7.0.6","development","MIT"
"immediate","3.0.6","production","MIT"
"imurmurhash","0.1.4","development","MIT"
"indent-string","4.0.0","development","MIT"
"inherits","2.0.4","production","ISC"
"ipaddr.js","2.5.0","production","MIT"
"is-extglob","2.1.1","development","MIT"
"is-glob","4.0.3","development","MIT"
"is-potential-custom-element-name","1.0.1","development","MIT"
"isarray","1.0.0","production","MIT"
"isexe","2.0.0","development","ISC"
"istanbul-lib-coverage","3.2.2","development","BSD-3-Clause"
"istanbul-lib-report","3.0.1","development","BSD-3-Clause"
"istanbul-reports","3.2.0","development","BSD-3-Clause"
"js-tokens","10.0.0","development","MIT"
"js-tokens","4.0.0","development","MIT"
"jsdom","30.0.1","development","MIT"
"jsesc","3.1.0","development","MIT"
"json-buffer","3.0.1","development","MIT"
"json-schema-ref-resolver","3.0.0","production","MIT"
"json-schema-traverse","0.4.1","development","MIT"
"json-schema-traverse","1.0.0","production","MIT"
"json-stable-stringify-without-jsonify","1.0.1","development","MIT"
"json5","2.2.3","development","MIT"
"jszip","3.10.2","production","(MIT OR GPL-3.0-or-later)"
"keyv","4.5.4","development","MIT"
"kleur","4.1.5","development","MIT"
"lenis","1.3.26","production","MIT"
"levn","0.4.1","development","MIT"
"lie","3.3.0","production","MIT"
"light-my-request","6.6.0","production","BSD-3-Clause"
"lightningcss","1.33.0","development","MPL-2.0"
"lightningcss-android-arm64","1.33.0","development","MPL-2.0"
"lightningcss-darwin-arm64","1.33.0","development","MPL-2.0"
"lightningcss-darwin-x64","1.33.0","development","MPL-2.0"
"lightningcss-freebsd-x64","1.33.0","development","MPL-2.0"
"lightningcss-linux-arm-gnueabihf","1.33.0","development","MPL-2.0"
"lightningcss-linux-arm64-gnu","1.33.0","development","MPL-2.0"
"lightningcss-linux-arm64-musl","1.33.0","development","MPL-2.0"
"lightningcss-linux-x64-gnu","1.33.0","development","MPL-2.0"
"lightningcss-linux-x64-musl","1.33.0","development","MPL-2.0"
"lightningcss-win32-arm64-msvc","1.33.0","development","MPL-2.0"
"lightningcss-win32-x64-msvc","1.33.0","development","MPL-2.0"
"locate-path","6.0.0","development","MIT"
"lru-cache","11.5.2","production","BlueOak-1.0.0"
"lru-cache","5.1.1","development","ISC"
"lucide-react","1.31.0","production","ISC"
"lz-string","1.5.0","development","MIT"
"magic-string","0.30.21","development","MIT"
"magicast","0.5.4","development","MIT"
"make-dir","4.0.0","development","MIT"
"marked","18.0.9","production","MIT"
"mdn-data","2.27.1","development","CC0-1.0"
"mime","3.0.0","production","MIT"
"min-indent","1.0.1","development","MIT"
"miniflare","5.20260811.1-alpha","development","MIT"
"minimatch","10.2.6","production","BlueOak-1.0.0"
"minipass","7.1.3","production","BlueOak-1.0.0"
"motion","13.1.0","production","MIT"
"motion-dom","13.0.0","production","MIT"
"motion-utils","13.0.0","production","MIT"
"ms","2.1.3","development","MIT"
"nanoid","3.3.18","development","MIT"
"natural-compare","1.4.0","development","MIT"
"node-releases","2.0.53","development","MIT"
"normalize-wheel","1.0.1","production","BSD-3-Clause"
"obug","2.1.4","development","MIT"
"on-exit-leak-free","2.1.2","production","MIT"
"optionator","0.9.4","development","MIT"
"p-limit","3.1.0","development","MIT"
"p-locate","5.0.0","development","MIT"
"pako","1.0.11","production","(MIT AND Zlib)"
"parse5","8.0.1","development","MIT"
"path-exists","4.0.0","development","MIT"
"path-key","3.1.1","development","MIT"
"path-scurry","2.0.2","production","BlueOak-1.0.0"
"path-to-regexp","6.3.0","development","MIT"
"pathe","2.0.3","development","MIT"
"picocolors","1.1.1","development","ISC"
"picomatch","4.0.5","development","MIT"
"pino","10.3.1","production","MIT"
"pino-abstract-transport","3.0.0","production","MIT"
"pino-std-serializers","7.1.0","production","MIT"
"playwright","1.62.1","development","Apache-2.0"
"playwright-core","1.62.1","development","Apache-2.0"
"postcss","8.5.26","development","MIT"
"prelude-ls","1.2.1","development","MIT"
"prettier","3.9.6","development","MIT"
"pretty-format","27.5.1","development","MIT"
"process-nextick-args","2.0.1","production","MIT"
"process-warning","4.0.1","production","MIT"
"process-warning","5.1.0","production","MIT"
"punycode","2.3.1","development","MIT"
"quick-format-unescaped","4.0.4","production","MIT"
"react","19.2.8","production","MIT"
"react-dom","19.2.8","production","MIT"
"react-easy-crop","6.2.3","production","MIT"
"react-is","17.0.2","development","MIT"
"react-router","7.18.2","production","MIT"
"readable-stream","2.3.8","production","MIT"
"real-require","0.2.0","production","MIT"
"real-require","1.0.0","production","MIT"
"redent","3.0.0","development","MIT"
"require-from-string","2.0.2","production","MIT"
"ret","0.5.0","production","MIT"
"reusify","1.1.0","production","MIT"
"rfdc","1.4.1","production","MIT"
"rolldown","1.2.3","development","MIT"
"rxjs","7.8.2","development","Apache-2.0"
"safe-buffer","5.1.2","production","MIT"
"safe-regex2","5.1.1","production","MIT"
"safe-stable-stringify","2.5.0","production","MIT"
"saxes","6.0.0","development","ISC"
"scheduler","0.27.0","production","MIT"
"secure-json-parse","4.1.0","production","BSD-3-Clause"
"semver","6.3.1","development","ISC"
"semver","7.8.5","production","ISC"
"set-cookie-parser","2.7.2","production","MIT"
"setimmediate","1.0.5","production","MIT"
"setprototypeof","1.2.0","production","ISC"
"sharp","0.35.2","development","Apache-2.0"
"shebang-command","2.0.0","development","MIT"
"shebang-regex","3.0.0","development","MIT"
"shell-quote","1.9.0","development","MIT"
"siginfo","2.0.0","development","ISC"
"sonic-boom","4.2.1","production","MIT"
"source-map-js","1.2.1","development","BSD-3-Clause"
"split2","4.2.0","production","ISC"
"stackback","0.0.2","development","MIT"
"statuses","2.0.2","production","MIT"
"std-env","4.2.0","development","MIT"
"string_decoder","1.1.1","production","MIT"
"string-width","7.2.0","development","MIT"
"strip-ansi","7.2.0","development","MIT"
"strip-indent","3.0.0","development","MIT"
"supports-color","10.2.2","development","MIT"
"supports-color","7.2.0","development","MIT"
"symbol-tree","3.2.4","development","MIT"
"thread-stream","4.2.0","production","MIT"
"tinybench","2.9.0","development","MIT"
"tinyexec","1.3.0","development","MIT"
"tinyglobby","0.2.17","development","MIT"
